GENE,GWAS,LOC_NUM
IL18R1,META5,9
IL18RAP,META5,9
IL1R1,META5,9
IL1R2,META5,9
IL1RL1,META5,9
IL1RL2,META5,9
LINC01127,META5,9
LOC101927142,META5,9
MAP4K4,META5,9
MFSD9,META5,9
MIR4772,META5,9
MIR5696,META5,9
NPAS2,META5,9
RFX8,META5,9
RNF149,META5,9
RPL31,META5,9
SLC9A2,META5,9
SLC9A4,META5,9
SNORD89,META5,9
TBC1D8,META5,9
TBC1D8-AS1,META5,9
TMEM182,META5,9
ACMSD,META5,10
CCNT2,META5,10
CCNT2-AS1,META5,10
MAP3K19,META5,10
MGAT5,META5,10
MIR128-1,META5,10
MIR3679,META5,10
MIR5590,META5,10
R3HDM1,META5,10
RAB3GAP1,META5,10
SNORA40B,META5,10
TMEM163,META5,10
ZRANB3,META5,10
ABCB11,META5,11
B3GALT1,META5,11
CERS6,META5,11
CERS6-AS1,META5,11
DHRS9,META5,11
G6PC2,META5,11
LOC105616981,META5,11
LRP2,META5,11
MIR4774,META5,11
NOSTRIN,META5,11
SPC25,META5,11
STK39,META5,11
XIRP2,META5,11
KCNH8,META5,12
LOC105376975,META5,12
LOC339862,META5,12
MIR4791,META5,12
SATB1,META5,12
SATB1-AS1,META5,12
TBC1D5,META5,12
AZI2,META5,13
CMC1,META5,13
EOMES,META5,13
LINC00693,META5,13
LINC01980,META5,13
LINC01981,META5,13
RBMS3,META5,13
RBMS3-AS3,META5,13
ZCWPW2,META5,13
AMT,META5,14
APEH,META5,14
ARIH2,META5,14
ARIH2OS,META5,14
ATRIP,META5,14
ATRIP-TREX1,META5,14
BSN,META5,14
BSN-DT,META5,14
C3orf62,META5,14
C3orf84,META5,14
CAMP,META5,14
CCDC36,META5,14
CCDC51,META5,14
CCDC71,META5,14
CDC25A,META5,14
CELSR3,META5,14
COL7A1,META5,14
DAG1,META5,14
DALRD3,META5,14
DHX30,META5,14
FBXW12,META5,14
FCF1P2,META5,14
GPX1,META5,14
IMPDH2,META5,14
IP6K2,META5,14
KLHDC8B,META5,14
LAMB2,META5,14
LAMB2P1,META5,14
LINC02585,META5,14
MAP4,META5,14
MIR1226,META5,14
MIR191,META5,14
