"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",3,"MIR199A2",0,1
"META5",3,"MIR214",0,50
"META5",3,"MIR3120",0,1
"META5",3,"MROH9",0,0
"META5",3,"MYOC",1,406
"META5",3,"MYOCOS",0,0
"META5",3,"PIGC",1,40
"META5",3,"PRRC2C",0,4
"META5",3,"SUCO",0,12
"META5",3,"TOP1P1",0,0
"META5",3,"VAMP4",0,72
"META5",4,"AVPR1B",0,91
"META5",4,"BLACAT1",0,33
"META5",4,"CDK18",0,23
"META5",4,"CNTN2",1,46
"META5",4,"CTSE",0,51
"META5",4,"DSTYK",0,10
"META5",4,"ELK4",0,46
"META5",4,"FAM72A",0,2
"META5",4,"FAM72C",0,1
"META5",4,"IKBKE",1,112
"META5",4,"KLHDC8A",0,1
"META5",4,"LEMD1",0,11
"META5",4,"LEMD1-AS1",0,1
"META5",4,"LEMD1-DT",0,0
"META5",4,"LOC284581",0,0
"META5",4,"MFSD4A",0,4
"META5",4,"MFSD4A-AS1",0,0
"META5",4,"MIR135B",0,27
"META5",4,"MIR6769B",0,0
"META5",4,"NFASC",0,36
"META5",4,"NUAK2",0,33
"META5",4,"NUCKS1",8,34
"META5",4,"PM20D1",1,25
"META5",4,"RAB29",14,26
"META5",4,"RASSF5",0,67
"META5",4,"RBBP5",0,101
"META5",4,"RHEX",0,11
"META5",4,"SLC26A9",0,67
"META5",4,"SLC41A1",16,61
"META5",4,"SLC45A3",1,44
"META5",4,"SRGAP2",0,60
"META5",4,"SRGAP2D",0,2
"META5",4,"TMCC2",0,6
"META5",4,"TMEM81",0,0
"META5",5,"ACBD3",0,56
"META5",5,"ACBD3-AS1",0,0
"META5",5,"CDC42BPA",0,21
"META5",5,"COQ8A",0,14
"META5",5,"EPHX1",1,387
"META5",5,"H3F3A",0,261
"META5",5,"H3F3AP4",0,0
"META5",5,"ITPKB",1,54
"META5",5,"ITPKB-IT1",0,0
"META5",5,"LEFTY1",0,118
"META5",5,"LEFTY2",0,93
"META5",5,"LIN9",0,28
"META5",5,"LINC01703",0,1
"META5",5,"MIR6741",0,0
"META5",5,"MIXL1",0,62
"META5",5,"PARP1",15,1983
"META5",5,"PSEN2",14,417
"META5",5,"PYCR2",0,15
"META5",5,"SDE2",0,12
"META5",5,"SNAP47",1,10
"META5",5,"SRP9",0,63
"META5",5,"STUM",0,4
"META5",5,"TMEM63A",0,5
"META5",5,"ZNF678",0,0
"META5",5,"ZNF847P",0,0
"META5",6,"DISC1",7,803
"META5",6,"DISC1-IT1",0,0
"META5",6,"DISC2",0,31
"META5",6,"LINC00582",0,1
"META5",6,"LINC01744",0,0
"META5",6,"LINC01745",0,0
"META5",6,"MAP10",0,2
"META5",6,"MAP3K21",0,2
"META5",6,"NTPCR",0,0
"META5",6,"PCNX2",0,2
"META5",6,"SIPA1L2",6,14
"META5",6,"TSNAX",0,19
"META5",6,"TSNAX-DISC1",0,7
"META5",7,"GEN1",0,105
"META5",7,"KCNS3",0,13
"META5",7,"MSGN1",0,20
"META5",7,"NT5C1B",0,3
"META5",7,"NT5C1B-RDH14",0,0
"META5",7,"RAD51AP2",0,2
"META5",7,"RDH14",0,2
"META5",7,"SMC6",0,103
"META5",7,"VSNL1",1,37
"META5",8,"ADRA2B",0,100
"META5",8,"ANKRD20A8P",0,0
"META5",8,"ANKRD36C",0,1
"META5",8,"ASTL",0,22
"META5",8,"CIAO1",0,22
"META5",8,"DUSP2",0,87
"META5",8,"FAHD2A",0,1
"META5",8,"FAHD2CP",0,0
"META5",8,"FAM95A",0,0
"META5",8,"GPAT2",0,29
"META5",8,"ITPRIPL1",0,1
"META5",8,"KCNIP3",0,11
"META5",8,"LINC00342",0,7
"META5",8,"LOC442028",0,0
"META5",8,"MAL",10,7405
"META5",8,"MRPS5",0,7
"META5",8,"PROM2",1,11
"META5",8,"SNORA112",0,0
"META5",8,"SNRNP200",0,36
"META5",8,"STARD7",0,30
"META5",8,"STARD7-AS1",0,0
"META5",8,"TEKT4",0,9
"META5",8,"TMEM127",0,108
"META5",8,"TRIM43",0,3
"META5",8,"TRIM43B",0,1
"META5",8,"ZNF2",0,88
"META5",8,"ZNF514",0,0
"META5",9,"CNOT11",0,1
"META5",9,"CREG2",0,2
"META5",9,"IL18R1",0,89
"META5",9,"IL18RAP",0,76
"META5",9,"IL1R1",0,281
"META5",9,"IL1R2",2,180
"META5",9,"IL1RL1",1,166
"META5",9,"IL1RL2",0,15
"META5",9,"LINC01127",0,1
"META5",9,"LOC101927142",0,0
"META5",9,"MAP4K4",0,173
"META5",9,"MFSD9",0,4
"META5",9,"MIR4772",0,0
"META5",9,"MIR5696",0,0
"META5",9,"NPAS2",5,275
"META5",9,"RFX8",0,1
"META5",9,"RNF149",0,5
"META5",9,"RPL31",0,21
"META5",9,"SLC9A2",0,21
"META5",9,"SLC9A4",0,7
