"GENE","Pval.Imputed","Pval.Exome"
"HIST1H4I",NA,0.191595218276671
"HIST1H4J",NA,0.400980260838505
"HIST1H4K",NA,0.776000901985183
"HIST1H4L",0.703656,0.126745500790315
"HLA-A",0.417702,1.65734956596442e-05
"HLA-DMA",0.410197,0.125906835861527
"HLA-DMB",0.375925,0.0659259437519804
"HLA-DOA",0.0818934,0.00160232962784468
"HLA-DOB",0.718229,0.00664798090228824
"HLA-DPA1",0.851821,0.185111214688862
"HLA-DPB1",0.22397,0.000144132860103841
"HLA-DPB2",NA,NA
"HLA-DQA1",NA,0.356392949643458
"HLA-DQA2",NA,0.0048660776878816
"HLA-DQB1",0.126114,0.0328282484553025
"HLA-DQB1-AS1",NA,NA
"HLA-DQB2",0.254545,NA
"HLA-DRA",0.0053055,0.34074612061266
"HLA-DRB1",NA,0.0222442598270859
"HLA-DRB5",NA,0.31319477160962
"HLA-DRB6",NA,NA
"HLA-E",0.0207374,0.542877539890114
"HLA-F",0.556008,0.0364152631276142
"HLA-F-AS1",0.447212,0.0499968114327703
"HLA-G",0.918497,0.242799385462875
"HLA-H",NA,NA
"HLA-J",NA,NA
"HLA-L",NA,0.500751481097597
"HLA-V",NA,NA
"HLCS",NA,0.653938978138684
"HMGCR",0.0959706,0.544678297536575
"HPF1",NA,NA
"HPS6",0.0458916,0.425669930999975
"HR",0.817019,0.0383454511185704
"HS6ST3",0.0279299,0.763080405423029
"HSD17B1",NA,0.148054589454707
"HSD17B8",0.662568,0.504156135766877
"HSD3B7",0.282968,0.164440568344133
"HSPA14",0.676077,0.115075964298457
"HSPA1A",NA,0.43250526309201
"HSPA1B",NA,0.0829053467371416
"HSPA1L",0.29553,0.519250017223096
"HSPA6",0.0843018,0.1396859139779
"HSPA7",NA,NA
"HSPB9",NA,0.141326287306627
"HSPBAP1",0.637875,0.190794946278918
"HTR3D",0.701873,0.00397152233433658
"IDUA",0.0169562,0.0682140280334321
"IER3",NA,0.799860806899408
"IER3-AS1",NA,NA
"IFI35",0.604457,0.844357513883016
"IFITM4P",NA,NA
"IFT80",0.976943,0.0693509038896937
"IGF2BP3",0.170765,0.095611615046066
"IGSF10",0.273127,0.0692616165974774
"IGSF9B",0.480863,0.00758491075169814
"IKBKE",0.704213,0.0312476563562269
"IL11RA",0.116425,0.593197812477219
"IL18R1",0.636441,0.205167992329449
"IL18RAP",0.158583,0.108699505393266
"IL1R1",0.277156,0.848793767837111
"IL1R2",0.672751,0.120626456935926
"IL1RL1",0.307924,0.55975643011312
"IL1RL2",1,0.539461803607719
"IL27",1,0.417811712713756
"IL31",0.588353,0.247499438550004
"IL6",0.135867,0.566927897140667
"IL6R",0.802728,0.290285098282692
"IL6R-AS1",NA,NA
"ILDR1",0.186066,0.259498606695377
"IMPDH2",NA,0.213767430218099
"INO80E",0.00248045,0.0369924842016087
"INPP5F",0.421126,0.0600117059172273
"INTS2",NA,0.837561547288362
"INTS4P2",NA,NA
"IP6K2",0.65775,0.287915431696042
"IPO5",0.663111,0.242853605656475
"IQCB1",0.637177,0.0271232839505924
"IQCK",1,0.125990962105168
"IQGAP2",0.0655545,0.408842894739639
"ISCA2",NA,0.0767447347583326
"ITGA2B",0.238113,0.00542817093568537
"ITGA8",0.657284,0.00396351486608615
"ITGAD",0.00347662,0.193109223383234
"ITGAL",0.081767,0.818799233437373
"ITGAM",1,0.0609193277657261
"ITGAX",0.238986,0.00334440012833557
"ITGB3",0.425891,0.577372210623794
"ITLN1",0.00060285,0.000172742262402492
"ITLN2",0.0324628,0.0753733191385144
"ITPKB",0.135532,0.0135161311232902
"ITPKB-IT1",NA,NA
"ITPRIPL1",0.775546,0.393691263815138
"ITPRIPL2",NA,0.0815148024845071
"IZUMO4",0.68676,0.320645119945156
"JADE2",NA,NA
"JAM3",NA,0.215563634926213
"JDP2",0.543625,0.374112835295181
"JSRP1",0.53239,0.0177799802973353
"JTB",NA,NA
"JUP",0.7282,0.167743880870528
"KANSL1",NA,NA
"KANSL1-AS1",NA,NA
"KAT2A",0.772898,0.398603970141696
"KAT8",NA,NA
"KCNAB3",0.794194,0.409830242413035
"KCNH4",0.578645,0.14954566519673
"KCNH8",0.00185415,0.0703838556033347
"KCNIP2",0.164946,0.112161328288754
"KCNIP2-AS1",NA,NA
"KCNIP3",0.885096,0.582571455847866
"KCNJ15",0.957849,0.109121237507781
"KCNJ6",NA,0.131181825149334
"KCNK10",0.543108,0.19887888004638
"KCNN3",NA,0.0205642939104666
"KCNQ5",NA,0.286553442006487
"KCNQ5-IT1",NA,NA
"KCNRG",NA,0.0951734937668937
"KCNS3",NA,0.106001092260941
"KCTD11",NA,0.0574669727605539
"KCTD13",NA,0.444570615444864
"KCTD7",NA,0.437083290075007
"KDM6B",0.83871,0.0707838662154425
"KHDC4",NA,NA
"KIAA0753",0.474992,0.416158840239506
"KIF18B",0.0330578,0.208491236224637
"KIF21A",0.0369193,0.639302736674901
"KIF22",0.241798,0.186338422738212
"KIF24",0.0536596,0.30245405301543
"KIFC1",0.241578,0.00665048265526816
"KLF16",NA,0.148705154170179
"KLHDC8A",NA,0.0364981686271
"KLHDC8B",NA,0.118733035821316
"KLHDC9",0.187131,0.194400373064793
"KLHL10",0.549425,0.0130691026014002
"KLHL11",0.623736,0.280762914824359
"KLHL14",NA,0.151633925721321
"KLHL24",NA,0.465311105379111
"KLHL6",0.859391,0.25894032820002
"KLHL6-AS1",NA,NA
"KLHL7",NA,0.317020168341988
"KLHL7-DT",NA,NA
"KMT5A",NA,NA
"KNOP1",NA,NA
"KNTC1",NA,0.216746374210147
"KPNA1",NA,0.494603978889961
"KPNA3",0.286337,0.367931063935387
"KPNA4",NA,0.0942669215146448
"KPNB1",0.630503,0.251551755643945
"KRBA2",NA,0.707718613897081
"KRT14",0.39452,0.746638592415906
"KRT16",0.258589,0.0750675948934376
"KRT17",NA,0.288570029310226
"KRT42P",NA,NA
"KRTCAP2",NA,0.301852366962541
"KTN1",0.256167,0.257386435613186
"KTN1-AS1",NA,NA
"LAMA4",0.174658,0.00158397950092004
"LAMB2",0.000171264,0.0153898669190506
"LAMB2P1",NA,NA
"LAMP3",1,0.0790409228496157
"LAMTOR2",NA,0.632723649362521
"LAP3",0.196888,0.000240596052295095
"LARP7",0.23563,0.0856234949507933
"LAT",NA,0.494017039703613
"LCORL",0.00173694,0.169280123614371
"LDB1",NA,0.402767264321574
"LDB2",NA,0.356290961694843
"LEFTY1",0.967541,0.0251193122185644
"LEFTY2",0.25448,0.331568598725621
"LEMD1",0.254618,0.104011359663394
"LEMD1-AS1",NA,NA
"LEMD1-DT",NA,NA
"LENEP",NA,0.0549573419331417
"LETM1",0.836088,0.0013628238826558
"LGALS3",0.730479,0.26255657476382
"LGALS3BP",0.444799,0.516671737935392
"LGI3",NA,0.0826506197731864
"LIN52",NA,0.137283262306163
"LIN9",0.213595,0.181317900426369
"LINC00174",NA,NA
"LINC00208",NA,NA
"LINC00240",NA,NA
"LINC00243",NA,NA
"LINC00324",NA,NA
"LINC00326",NA,NA
"LINC00336",NA,NA
"LINC00342",NA,NA
"LINC00359",NA,NA
"LINC00456",NA,NA
"LINC00462",NA,NA
"LINC00472",NA,NA
"LINC00491",NA,NA
"LINC00492",NA,NA
"LINC00504",NA,NA
"LINC00517",NA,NA
"LINC00520",NA,NA
"LINC00533",NA,NA
"LINC00582",NA,NA
"LINC00654",NA,NA
"LINC00658",NA,NA
"LINC00671",NA,NA
"LINC00681",NA,NA
"LINC00693",NA,NA
"LINC00888",NA,NA
"LINC00907",NA,NA
"LINC00910",NA,NA
"LINC00919",NA,NA
"LINC00938",NA,NA
"LINC00976",NA,NA
"LINC00977",NA,NA
"LINC01012",NA,NA
"LINC01013",NA,NA
"LINC01015",NA,NA
"LINC01127",NA,NA
"LINC01146",NA,NA
"LINC01147",NA,NA
"LINC01180",NA,NA
"LINC01220",NA,NA
"LINC01251",NA,NA
"LINC01312",NA,NA
"LINC01372",NA,NA
"LINC01423",NA,NA
"LINC01561",NA,NA
"LINC01571",NA,NA
"LINC01612",NA,NA
"LINC01626",NA,NA
"LINC01630",NA,NA
"LINC01703",NA,NA
"LINC01713",NA,NA
"LINC01729",NA,NA
"LINC01744",NA,NA
"LINC01745",NA,NA
"LINC01775",NA,NA
"LINC01843",NA,NA
"LINC01973",NA,NA
"LINC01976",NA,NA
"LINC01980",NA,NA
"LINC01981",NA,NA
"LINC01987",NA,NA
"LINC01993",NA,NA
"LINC01994",NA,NA
"LINC01995",NA,NA
"LINC02035",NA,NA
"LINC02057",NA,NA
"LINC02067",NA,NA
"LINC02115",NA,NA
"LINC02127",NA,NA
"LINC02168",NA,NA
"LINC02178",NA,NA
"LINC02180",NA,NA
"LINC02190",NA,NA
"LINC02210",NA,NA
"LINC02210-CRHR1",NA,NA
"LINC02275",NA,NA
"LINC02330",NA,NA
"LINC02349",NA,NA
"LINC02361",NA,NA
"LINC02414",NA,NA
"LINC02471",NA,NA
"LINC02483",NA,NA
"LINC02493",NA,NA
"LINC02527",NA,NA
"LINC02569",NA,NA
"LINC02570",NA,NA
"LINC02585",NA,NA
"LINC02604",NA,NA
"LINC02681",NA,NA
"LINC02709",NA,NA
"LINC02714",NA,NA
"LINC02731",NA,NA
"LINC02743",NA,NA
"LINGO3",0.400215,0.578148720726644
"LMNA",0.0154033,0.0448651612498437
"LMNB2",NA,0.143777199270374
"LOC100128288",NA,NA
"LOC100129129",NA,NA
"LOC100129917",NA,NA
"LOC100130238",NA,NA
"LOC100130872",NA,NA
"LOC100131289",NA,NA
"LOC100270746",NA,NA
"LOC100288123",NA,0.374593080580282
"LOC100288162",NA,NA
"LOC100288798",NA,NA
"LOC100294145",NA,NA
"LOC100506178",NA,NA
"LOC100506282",NA,NA
"LOC100506691",NA,NA
"LOC100506990",NA,NA
"LOC100507071",NA,NA
"LOC100507156",NA,NA
"LOC100507351",NA,NA
"LOC100507547",NA,NA
"LOC100996351",NA,NA
"LOC100996437",NA,NA
"LOC100996842",NA,NA
"LOC101593348",NA,NA
"LOC101927142",NA,NA
"LOC101927272",NA,NA
"LOC101927640",NA,NA
"LOC101927855",NA,NA
"LOC101927877",NA,NA
"LOC101928008",NA,NA
"LOC101928053",NA,NA
"LOC101928105",NA,NA
"LOC101928120",NA,NA
"LOC101928166",NA,NA
"LOC101928372",NA,NA
"LOC101928416",NA,NA
"LOC101928530",NA,NA
"LOC101928595",NA,NA
"LOC101928597",NA,NA
"LOC101928651",NA,NA
"LOC101928674",NA,NA
"LOC101928809",NA,NA
"LOC101928907",NA,NA
"LOC101929006",NA,NA
"LOC101929095",NA,NA
"LOC101929109",NA,NA
"LOC101929237",NA,NA
"LOC101929269",NA,NA
"LOC101929322",NA,NA
"LOC101929767",NA,NA
"LOC102546229",NA,NA
"LOC102723373",NA,NA
"LOC102723385",NA,NA
"LOC102723582",NA,NA
"LOC102724153",NA,NA
"LOC105370203",NA,NA
"LOC105371267",NA,NA
"LOC105371789",NA,NA
"LOC105371795",NA,NA
"LOC105371855",NA,NA
"LOC105372795",NA,NA
"LOC105374338",NA,NA
"LOC105374344",NA,NA
"LOC105376975",NA,NA
"LOC105377372",NA,NA
"LOC105379183",NA,NA
"LOC105616981",NA,NA
"LOC107984265",NA,NA
"LOC107984784",NA,NA
"LOC107986453",NA,NA
"LOC107986876",NA,NA
"LOC108783654",NA,NA
"LOC110384692",NA,NA
"LOC112543491",NA,NA
"LOC112694756",NA,NA
"LOC254896",NA,NA
"LOC283177",NA,NA
"LOC284581",NA,NA
"LOC286059",NA,NA
"LOC339192",NA,NA
"LOC339862",NA,NA
"LOC340357",NA,NA
"LOC388242",NA,0.0823177601166984
"LOC389641",NA,NA
"LOC392196",NA,NA
"LOC400622",NA,NA
"LOC401312",NA,NA
"LOC441087",NA,NA
"LOC441242",NA,NA
"LOC442028",0.000112542,4.41535696893425e-13
"LOC541472",NA,NA
"LOC606724",NA,0.0823177601166984
"LOC613038",NA,0.0823177601166984
"LOC643406",NA,NA
"LOC643802",NA,NA
"LOC649352",NA,NA
"LOC729732",NA,NA
"LOC730098",NA,NA
"LOC730183",NA,NA
"LONRF1",0.105209,0.802107853516138
"LOXL2",0.97709,0.321672491409409
"LPAR6",0.568426,0.473814206575285
"LRCOL1",NA,NA
"LRP2",0.661592,0.229698315107586
"LRRC37A",NA,0.273305854871424
"LRRC37A2",NA,0.0917511440945122
"LRRC37A4P",NA,NA
"LRRC43",0.200541,0.0999595225522358
"LRRK2",2.15206e-10,0.159141391890153
"LRRN4",0.113023,0.451326489385866
"LSM12",NA,0.844571212272571
"LSM2",NA,NA
"LSM7",NA,4.04869260898326e-09
"LTBP2",0.468771,0.0573027752267823
"LY6G5B",1,0.182932692012228
"LY6G5C",0.368432,0.112580562110549
"LY6G6C",0.157291,0.261001425658918
"LY6G6D",0.674621,0.227087345250567
"LY6G6E",NA,NA
"LY6G6F",NA,0.29183403452949
"LY6G6F-LY6G6D",NA,NA
"LY9",0.679061,0.211014674210418
"LYVE1",0.574406,0.137614881706633
"MAEA",NA,0.0500794118811968
"MAL",0.107126,0.0629065868574175
"MALSU1",NA,NA
"MAP10",NA,NA
"MAP3K14",NA,0.0909899829602559
"MAP3K14-AS1",NA,NA
"MAP3K19",NA,NA
"MAP3K21",NA,NA
"MAP4",0.865455,0.359088114141434
"MAP4K4",0.424363,0.0534732011298461
"MAP6D1",NA,0.0153337103425254
"MAPK1IP1L",NA,0.27922496991262
"MAPK3",0.182304,0.447475297040678
"MAPK4",NA,0.0603745460802465
"MAPK8IP1P2",NA,NA
"MAPT",0.710057,0.356555784432682
"MAPT-AS1",NA,NA
"MAPT-IT1",NA,NA
"MARCH10",0.705999,0.421457581688619
"MAS1L",0.0963184,0.263013565839515
"MAZ",NA,0.0101731821372771
"MBD1",0.0494484,0.482114222637345
"MBD3",NA,0.181246079484882
"MBNL1",NA,0.476915108969127
"MBNL1-AS1",NA,NA
"MBNL2",NA,0.0586711262297265
"MCCC1",0.842764,0.0331046564014818
"MCF2L2",0.511777,0.0982139660280515
"MCM8",0.0570394,0.104777333684124
"MCM8-AS1",NA,NA
"MCMBP",NA,0.655616340795406
"MDC1",1,0.197497183420267
"MDC1-AS1",NA,NA
"ME2",0.471177,0.0787575856466412
"MED12L",0.539155,0.117842895238885
"MED13",0.35696,0.24779081834718
"MED28",NA,0.140172128202622
"MED31",NA,0.544817562629048
"MEIG1",NA,0.509260326995081
"MEIOC",NA,NA
"MEOX1",NA,0.357959150440248
"METTL2A",NA,0.245758449118072
"MEX3A",NA,0.243597894394814
"MEX3C",NA,0.532551712553168
"MEX3D",NA,0.116184900669478
"MFAP3L",NA,0.177654185124921
"MFSD13A",NA,NA
"MFSD4A",NA,NA
"MFSD4A-AS1",NA,NA
"MFSD4B",NA,NA
"MFSD9",0.0316552,0.312405627505744
"MGAT5",NA,0.535870119666789
"MGC15885",NA,NA
"MICU3",NA,NA
"MINDY3",NA,NA
"MINDY4B",NA,NA
"MIPOL1",0.201096,0.189336453848824
"MIR12117",NA,NA
"MIR1226",NA,NA
"MIR1227",NA,NA
"MIR1234",NA,NA
"MIR1236",NA,NA
"MIR1243",NA,NA
"MIR128-1",NA,NA
"MIR1295A",NA,NA
"MIR1295B",NA,NA
"MIR135B",NA,NA
"MIR146B",NA,NA
"MIR15A",NA,NA
"MIR15B",NA,NA
"MIR16-1",NA,NA
"MIR16-2",NA,NA
"MIR1909",NA,NA
"MIR190B",NA,NA
"MIR191",NA,NA
"MIR195",NA,NA
"MIR199A2",NA,NA
"MIR2115",NA,NA
"MIR2117",NA,NA
"MIR2117HG",NA,NA
"MIR214",NA,NA
"MIR219A1",NA,NA
"MIR302A",NA,NA
"MIR302B",NA,NA
"MIR302C",NA,NA
"MIR302CHG",NA,NA
"MIR302D",NA,NA
"MIR30A",NA,NA
"MIR30C2",NA,NA
"MIR3120",NA,NA
"MIR3135B",NA,NA
"MIR3143",NA,NA
"MIR3152",NA,NA
"MIR3158-1",NA,NA
"MIR3158-2",NA,NA
"MIR3170",NA,NA
"MIR3179-1",NA,NA
"MIR3179-2",NA,NA
"MIR3179-3",NA,NA
"MIR3179-4",NA,NA
"MIR3180-1",NA,NA
"MIR3180-2",NA,NA
"MIR3180-3",NA,NA
"MIR3181",NA,NA
"MIR320A",NA,NA
"MIR324",NA,NA
"MIR3613",NA,NA
"MIR3661",NA,NA
"MIR367",NA,NA
"MIR3670-1",NA,NA
"MIR3670-2",NA,NA
"MIR3670-3",NA,NA
"MIR3670-4",NA,NA
"MIR3679",NA,NA
"MIR3680-1",NA,NA
"MIR3680-2",NA,NA
"MIR3686",NA,NA
"MIR3908",NA,NA
"MIR3914-1",NA,NA
"MIR3914-2",NA,NA
"MIR3926-1",NA,NA
"MIR3926-2",NA,NA
"MIR425",NA,NA
"MIR4258",NA,NA
"MIR4271",NA,NA
"MIR4304",NA,NA
"MIR4308",NA,NA
"MIR4314",NA,NA
"MIR4315-1",NA,NA
"MIR4315-2",NA,NA
"MIR4321",NA,NA
"MIR4443",NA,NA
"MIR4448",NA,NA
"MIR4450",NA,NA
"MIR4485",NA,NA
"MIR4501",NA,NA
"MIR4503",NA,NA
"MIR4517",NA,NA
"MIR4518",NA,NA
"MIR4519",NA,NA
"MIR4520-1",NA,NA
"MIR4520-2",NA,NA
"MIR4521",NA,NA
"MIR4640",NA,NA
"MIR4646",NA,NA
"MIR4650-1",NA,NA
"MIR4650-2",NA,NA
"MIR4654",NA,NA
"MIR4680",NA,NA
"MIR4681",NA,NA
"MIR4682",NA,NA
"MIR4697",NA,NA
"MIR4697HG",NA,NA
"MIR4709",NA,NA
"MIR4721",NA,NA
"MIR4772",NA,NA
"MIR4774",NA,NA
"MIR4791",NA,NA
"MIR4793",NA,NA
"MIR497",NA,NA
"MIR497HG",NA,NA
"MIR5004",NA,NA
"MIR5010",NA,NA
"MIR5089",NA,NA
"MIR5186",NA,NA
"MIR5187",NA,NA
"MIR5194",NA,NA
"MIR548AH",NA,NA
"MIR548AJ1",NA,NA
"MIR548AT",NA,NA
"MIR548E",NA,NA
"MIR548V",NA,NA
"MIR555",NA,NA
"MIR556",NA,NA
"MIR5580",NA,NA
"MIR5590",NA,NA
"MIR5692A1",NA,NA
"MIR5692A2",NA,NA
"MIR5692C1",NA,NA
"MIR5696",NA,NA
"MIR5698",NA,NA
"MIR571",NA,NA
"MIR598",NA,NA
"MIR6085",NA,NA
"MIR6511A1",NA,NA
"MIR6511A2",NA,NA
"MIR6511A3",NA,NA
"MIR6511A4",NA,NA
"MIR6721",NA,NA
"MIR6737",NA,NA
"MIR6738",NA,NA
"MIR6741",NA,NA
"MIR6763",NA,NA
"MIR6769B",NA,NA
"MIR6770-1",NA,NA
"MIR6770-2",NA,NA
"MIR6770-3",NA,NA
"MIR6771",NA,NA
"MIR6780A",NA,NA
"MIR6781",NA,NA
"MIR6782",NA,NA
"MIR6783",NA,NA
"MIR6784",NA,NA
"MIR6789",NA,NA
"MIR6823",NA,NA
"MIR6824",NA,NA
"MIR6832",NA,NA
"MIR6833",NA,NA
"MIR6834",NA,NA
"MIR6851",NA,NA
"MIR6862-1",NA,NA
"MIR6862-2",NA,NA
"MIR6873",NA,NA
"MIR6883",NA,NA
"MIR6890",NA,NA
"MIR6891",NA,NA
"MIR7108",NA,NA
"MIR711",NA,NA
"MIR7110",NA,NA
"MIR762",NA,NA
"MIR762HG",NA,NA
"MIR7850",NA,NA
"MIR8067",NA,NA
"MIR8072",NA,NA
"MIR8082",NA,NA
"MIR877",NA,NA
"MIR92B",NA,NA
"MIR9902-1",NA,NA
"MIR9902-2",NA,NA
"MIXL1",NA,0.0944690267514581
"MKNK2",0.672366,0.375879355324574
"MLH3",0.0811531,0.113607402860648
"MLNR",NA,0.0769671868176554
"MLX",NA,0.900149980010467
"MLXIP",0.356221,0.0865770308022952
"MMP17",0.25997,0.426854034510257
"MMRN1",0.00731388,0.292840280829205
"MOB3A",NA,NA
"MOG",0.593517,0.477734716975022
"MOXD1",0.868524,0.282526580986028
"MPDU1",NA,0.641403780065178
"MPHOSPH9",0.0424475,0.370149724807648
"MPIG6B",NA,NA
"MPP2",0.174066,0.985734115549111
"MPP3",0.189661,0.338054706819643
"MPZ",NA,0.514593267034932
"MRC2",0.652606,0.0104485602687616
"MRO",0.971528,0.400202998684299
"MROH9",NA,NA
"MRPL45P2",NA,NA
"MRPS18B",0.319032,0.0283366313646254
"MRPS5",0.473105,0.0414550151753235
"MRVI1",0.31783,0.150960376143868
"MRVI1-AS1",NA,NA
"MSGN1",NA,0.407578494951333
"MSH5",0.194066,0.117539959935662
"MSH5-SAPCD1",NA,NA
"MSR1",0.378821,0.495095175944336
"MST1",0.659052,6.43367562502819e-10
"MSTO1",0.157559,0.411567599095796
"MSTO2P",NA,NA
"MTMR7",0.0928209,0.151512252241067
"MTMR9",0.330779,0.353411844387227
"MTRNR2L8",NA,NA
"MTUS1",0.021449,0.227797468909394
"MTX1",0.624771,0.239105916635655
"MUC1",0.331308,0.118077788591966
"MUC19",NA,NA
"MUC21",0.239631,0.1880943693922
"MUC22",NA,NA
"MUCL3",NA,NA
"MVP",1,0.0449478532667138
"MXI1",0.158223,0.131402195272685
"MYL4",NA,NA
"MYL5",0.00930159,NA
"MYLPF",NA,0.151907838155303
"MYO5B",0.0331527,0.602737599414289
"MYOC",0.649604,0.0383777665817099
"MYOCOS",NA,NA
"MYORG",NA,NA
"NAA38",NA,0.110218364173019
"NAAA",0.0401276,0.172334297471506
"NACA2",0.318042,2.16642456918326e-06
"NAGLU",0.727426,0.382682140385688
"NAGS",0.828584,0.0900382774445922
"NANOS1",NA,0.0190612675588592
"NBR1",1,0.201007957934198
"NBR2",NA,NA
"NCAPD3",0.778892,0.230109027714146
"NCAPG",0.498577,0.240145119249927
"NCKIPSD",1,0.105524851168586
"NCLN",0.551862,0.103063863040103
"NCRUPAR",NA,NA
"NDEL1",0.348395,0.320263043650988
"NDUFAF2",NA,NA
"NDUFAF3",NA,0.342861759851138
"NDUFS2",0.835197,0.0836286064401659
"NDUFS7",NA,0.0626542453748777
"NECTIN4",NA,NA
"NEIL2",0.476664,0.0561906313563194
"NEK1",0.486799,0.185807887785793
"NEK9",0.00827308,0.273286345386797
"NELFE",NA,NA
"NEU1",NA,0.124938572799454
"NEURL4",0.248078,0.120450058782829
"NEUROG1",NA,0.0149908793186474
"NEUROG2",NA,0.868351228343173
"NFASC",0.526,0.389060487701111
"NFATC2IP",0.452763,0.407783808658243
"NFKB2",4.02119e-07,0.366014369985062
"NFX1",0.871988,0.0150737798600822
"NICN1",0.00949645,0.330091730721677
"NIPSNAP3A",NA,0.245584789715854
"NIPSNAP3B",0.340172,0.193742952127945
"NIT1",0.528721,0.0614825065397943
"NKAPL",0.13578,0.0940055312722008
"NKD1",NA,0.000367268203102461
"NKIRAS2",NA,0.452083842521938
"NKX1-1",NA,NA
"NKX2-1",NA,0.309863267281314
"NKX2-1-AS1",NA,NA
"NKX2-8",0.0295575,0.202298311172809
"NLGN2",0.765859,0.0402635637485622
"NMD3",NA,0.496290571739485
"NME6",0.088376,0.318966720205769
"NMT1",NA,0.0792335615971421
"NMT2",0.371739,0.0433207482521958
"NOC4L",1,0.0781292316441865
"NOD2",1,0.0230537454309445
"NOL4",NA,0.23216868059501
"NOL6",0.068272,0.201356681810473
"NOLC1",0.414893,0.530074472161633
"NOMO2",NA,0.113058266201659
"NOS1AP",0.936895,0.0616397158287769
"NOSTRIN",0.212618,0.194775770411857
"NOTCH4",0.236474,0.342797837569426
"NPAS2",0.149548,0.668629654864617
"NPC2",0.0207099,0.0316986857257428
"NPEPPS",0.68799,0.0659267617428307
"NPIPA7",NA,NA
"NPIPA8",NA,NA
"NPIPB11",NA,NA
"NPIPB12",NA,NA
"NPIPB13",NA,NA
"NPIPB6",NA,NA
"NPIPB8",NA,NA
"NPIPB9",NA,NA
"NPM2",0.637814,0.0381696880723207
"NPM3",0.939028,0.0581647380746246
"NR1I3",0.550455,0.504947682012843
"NRM",0.882203,0.804329148398323
"NSD2",NA,NA
"NSF",NA,0.649088546100314
"NSFP1",NA,0.0917511440945122
"NT5C1B",0.190398,0.136427486699666
"NT5C1B-RDH14",0.142876,0.0455923976415404
"NT5C2",NA,0.299808228665827
"NT5C3B",NA,NA
"NTPCR",0.287835,0.0248151970150088
"NUAK2",0.294077,0.45002727564262
"NUCKS1",NA,0.272063561997368
"NUDT12",0.169541,0.236671793329662
"NUDT18",0.887413,0.267712972574478
"NUDT2",NA,0.255046397658602
"NUP210L",0.655434,0.623136451771409
"NUP42",NA,NA
"NUP54",NA,0.441855786087368
"NUPR1",0.451005,0.00933257440002422
"OAZ1",NA,0.0618973046607748
"ODAPH",NA,NA
"ODF4",NA,0.337541007084561
"OGA",NA,NA
"OGFOD2",0.847029,0.365853599078557
"OGFRL1",NA,0.0178179013661017
"OLAH",0.926938,0.240378118075711
"OLFML2B",0.691487,0.112653644506392
"ONECUT3",NA,0.630626345781803
"OPCML",0.38292,0.215687080097955
"OR10C1",0.232043,0.330869755238316
"OR11A1",0.628246,0.114630549481115
"OR12D1",NA,NA
"OR12D2",0.643607,0.117506264792826
"OR12D3",0.0981448,0.400015584515604
"OR13C2",NA,0.0174392543502004
"OR13C3",0.103113,0.00992701945389412
"OR13C4",0.0787312,0.175021107965936
"OR13C5",0.703767,0.0104128644694976
"OR13C8",0.647718,0.251861754450653
"OR13C9",0.580691,0.0993384543021562
"OR13D1",0.519946,0.105410754795322
"OR13F1",0.311843,0.00164675240611435
"OR14J1",0.753554,0.088291731640884
"OR1F12",NA,NA
"OR2B2",0.479228,0.13541348233282
"OR2B6",0.514899,0.0436942735929442
"OR2H1",1,0.046364588047202
"OR2H2",0.187515,0.407593934274387
"OR2J2",0.0999166,0.387708444158448
"OR5V1",0.789915,0.149780912025019
"ORAI3",NA,0.363373522855598
"OTOL1",0.221118,0.0832028580503996
"OXGR1",0.187274,0.309686863268717
"P2RX2",0.219584,0.448009858526494
"P2RY12",NA,0.0396660167747983
"P2RY13",0.761508,0.235010878992532
"P2RY14",NA,0.385295935894669
"P3H4",NA,NA
"P4HTM",0.644577,0.107296630159132
"PAGR1",NA,NA
"PALLD",0.662759,0.53049752496501
"PAM",0.759572,0.383610352594262
"PARL",NA,0.0956978775773858
"PARP1",0.213225,0.25460871776407
"PARP14",0.0975782,0.108270024747194
"PARP15",0.113399,0.279785223876692
"PARP9",0.0721832,0.025502484839747
"PART1",NA,NA
"PAX9",NA,0.119522596959524
"PBX2",NA,0.183981799656595
"PBXIP1",1,0.204067542272882
"PCBD2",NA,0.686550826139956
"PCF11",0.177877,0.194603179117317
"PCF11-AS1",NA,NA
"PCGF3",NA,0.6812744557445
"PCNA",NA,0.0316595092598025
"PCNA-AS1",NA,0.47861235917387
"PCNX2",NA,NA
"PCP4L1",0.473545,0.0592320968631068
"PCSK4",0.488064,0.11817161324452
"PDCD4",0.53991,0.0371983642777147
"PDCD4-AS1",NA,NA
"PDE4D",0.0988053,0.0552383654407895
"PDE6B",0.144744,0.216030440864432
"PDE8B",0.544413,0.340760242251644
"PDGFRL",0.449873,0.455201511999252
"PDIA5",NA,0.673755841227231
"PDLIM2",0.277707,0.132970909026048
"PDZRN4",0.6419,0.725537678455665
"PEAK3",NA,NA
"PEBP4",0.691042,0.155946523459598
"PER1",0.169798,0.00119775750943252
"PFAS",0.19247,0.0217589238972193
"PFDN2",NA,0.78969380390526
"PFDN6",0.94576,NA
"PFKFB4",NA,0.351911409926892
"PGAM5",0.190426,0.182338291521285
"PGBD1",0.036513,0.0130680525506232
"PGF",NA,0.143344083099186
"PGS1",NA,0.818865976654641
"PHF1",0.572029,0.172460279630475
"PHF11",NA,0.000822935159130349
