"GENE","Pval.Imputed","Pval.Exome"
"B3GAT2",NA,0.154336904596861
"B3GNT4",0.942797,0.236058286881608
"B3GNT5",0.0487262,0.41752800735286
"B4GALT1",NA,0.318285754854992
"B4GALT1-AS1",NA,NA
"B4GALT3",0.333912,0.255891616822273
"BAG1",NA,0.413371828884183
"BAG3",0.557053,0.246263008945301
"BAG6",0.869746,0.000204723802168738
"BAK1",NA,0.446107637404649
"BATF",NA,0.524937162980931
"BBIP1",NA,NA
"BBOF1",NA,NA
"BCAS3",0.023597,0.196342448577238
"BCKDK",NA,0.421617599782647
"BCL6B",0.260492,0.108813539775449
"BCL7A",0.363705,0.455481695677387
"BCL7C",NA,0.094782720371248
"BECN1",0.140886,0.00380813602285914
"BIN3",0.218798,0.0539936477364317
"BIN3-IT1",NA,NA
"BIRC5",0.14859,0.322748204807982
"BLACAT1",NA,NA
"BLK",0.0955456,0.613885593372089
"BMP1",0.27136,0.0308245793302683
"BMP2",0.22957,0.191676361777007
"BMP4",NA,4.16228876416369e-07
"BNC2",0.548721,0.0324908552872881
"BNC2-AS1",NA,NA
"BOLA2",NA,0.0823177601166984
"BOLA2-SMG1P6",NA,NA
"BOLA2B",NA,0.0823177601166984
"BORCS6",NA,NA
"BORCS7",NA,NA
"BORCS7-ASMT",NA,NA
"BRCA1",0.196437,0.0101029828239664
"BRD2",0.799952,0.240733180225355
"BRD7",NA,0.314290370175189
"BRIP1",0.5502,0.265541784734331
"BSN",0.126352,0.0843544066405033
"BSN-DT",NA,NA
"BST1",0.0069571,0.22699239362743
"BTBD2",0.0411251,0.566970072225085
"BTNL2",0.0666448,0.012528672953692
"BTRC",0.321219,0.626831129188812
"C10orf95",NA,0.0586836330720263
"C12orf40",0.0358201,0.0616483681959228
"C12orf65",0.066349,0.0365586023296314
"C16orf54",NA,0.00245621008692887
"C16orf58",0.57453,0.173267815314559
"C16orf92",0.0162472,0.0945069436997178
"C16orf97",NA,NA
"C17orf100",0.312644,0.524353858780746
"C17orf113",NA,NA
"C17orf49",0.78052,0.152552983571454
"C17orf53",0.68444,0.0341210662804003
"C17orf82",0.575065,0.157889442564971
"C17orf99",0.168293,NA
"C19orf25",0.948743,0.390635826828234
"C1QL1",NA,0.863046117005861
"C1QL3",NA,NA
"C1QTNF1",0.0708012,0.259016842749652
"C1QTNF1-AS1",NA,NA
"C1QTNF7",0.369871,0.425813704341206
"C1orf105",0.156283,0.418747622238402
